kcal_scn,SSP_scn,measure,diet_scn,waste_scn,tech_scn,env_item,year,value,,,Environmental analysis:,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,nitr,2010,60755.33792,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,nitr,2030,77595.54234,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,nitr,2050,89945.62671,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,phos,2010,7500.943975,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,phos,2030,9707.874044,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,phos,2050,10766.87439,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,nitr_splus,2010,90874.8403,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,nitr_splus,2030,109460.4485,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,nitr_splus,2050,122830.5456,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,nitr_sfert,2010,86177.31304,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,nitr_sfert,2030,105138.0352,,,,,,,,,,
2100kcal,SSP2,abs,BMK,half_w,TECH_p,nitr_sfert,2050,117260.1217,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,GHGe,2010,2889.753318,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,GHGe,2030,3950.145772,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,GHGe,2050,4718.178236,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,land,2010,12683.11661,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,land,2030,16202.86373,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,land,2050,18777.51078,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,water,2010,1807.704026,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,water,2030,2320.12589,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,water,2050,2650.828809,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,nitr,2010,91491.60053,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,nitr,2030,112740.8597,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,nitr,2050,127196.0563,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,phos,2010,16415.40683,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,phos,2030,20412.73226,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,phos,2050,22988.11232,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,nitr_splus,2010,123848.8195,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,nitr_splus,2030,148973.0837,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,nitr_splus,2050,166683.4509,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,nitr_sfert,2010,125853.4322,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,nitr_sfert,2030,155214.7645,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,BMK,nitr_sfert,2050,174046.8071,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,GHGe,2010,2628.372968,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,GHGe,2030,3743.990398,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,GHGe,2050,4304.63742,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,land,2010,12683.11661,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,land,2030,12977.54994,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,land,2050,13255.98247,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,water,2010,1807.704026,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,water,2030,1837.882439,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,water,2050,1879.065621,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,nitr,2010,91491.60053,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,nitr,2030,111293.6377,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,nitr,2050,125460.8927,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,phos,2010,16415.40683,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,phos,2030,20118.32992,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,phos,2050,21899.28935,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,nitr_splus,2010,123848.8195,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,nitr_splus,2030,141092.5488,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,nitr_splus,2050,155796.2988,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,nitr_sfert,2010,125853.4322,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,nitr_sfert,2030,147334.2297,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH,nitr_sfert,2050,163159.655,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,GHGe,2010,2568.471106,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,GHGe,2030,3696.602781,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,GHGe,2050,4219.553551,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,land,2010,12526.73045,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,land,2030,12373.94067,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,land,2050,11284.91043,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,water,2010,1807.540713,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,water,2030,1837.220512,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,water,2050,1878.611304,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,nitr,2010,64044.12037,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,nitr,2030,77905.54639,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,nitr,2050,87822.6249,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,phos,2010,8207.703417,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,phos,2030,10059.16496,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,phos,2050,10949.64468,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,nitr_splus,2010,95629.49504,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,nitr_splus,2030,105477.218,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,nitr_splus,2050,112831.0868,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,nitr_sfert,2010,97634.10772,,,,,,,,,,
2100kcal,SSP2,abs,FLX,full_w,TECH_p,nitr_sfert,2030,111718.8989,,,,,,,,,,
